 Simulation_Period = 20160101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20160111        0.242500E-05        0.692042E-04        0.380333E-05        0.210167E+00        0.281042E-02        0.428958E-02        0.141833E-03        0.000000E+00        0.109125E-02        0.157750E-02        0.360042E-01        0.387208E+00        0.323000E+00        0.100000E+01        0.262833E-16        0.122000E+01        0.122000E+01        0.470000E-05        0.357833E-04        0.636000E+01        0.277000E+00        0.000000E+00        0.640000E+01
  20160112        0.254500E-05        0.715500E-04        0.414083E-05        0.216000E+00        0.263792E-02        0.402875E-02        0.135083E-03        0.000000E+00        0.104833E-02        0.151875E-02        0.343333E-01        0.396167E+00        0.325000E+00        0.100000E+01        0.206292E-16        0.122000E+01        0.122000E+01        0.470000E-05        0.347375E-04        0.624000E+01        0.281000E+00        0.000000E+00        0.640000E+01
  20160113        0.265208E-05        0.741042E-04        0.447542E-05        0.216417E+00        0.243125E-02        0.374792E-02        0.130708E-03        0.000000E+00        0.987708E-03        0.144208E-02        0.336417E-01        0.404750E+00        0.332000E+00        0.100000E+01        0.151571E-16        0.122000E+01        0.122000E+01        0.470000E-05        0.330333E-04        0.579000E+01        0.277000E+00        0.000000E+00        0.640000E+01
  20160114        0.281750E-05        0.760917E-04        0.486375E-05        0.237917E+00        0.244958E-02        0.368000E-02        0.120292E-03        0.000000E+00        0.101525E-02        0.145167E-02        0.300417E-01        0.412833E+00        0.319000E+00        0.100000E+01        0.287667E-16        0.122000E+01        0.122000E+01        0.470000E-05        0.342875E-04        0.665000E+01        0.276000E+00        0.000000E+00        0.640000E+01
  20160115        0.301583E-05        0.780333E-04        0.529833E-05        0.270167E+00        0.251542E-02        0.364333E-02        0.107625E-03        0.000000E+00        0.106083E-02        0.147250E-02        0.256750E-01        0.420417E+00        0.298000E+00        0.100000E+01       -0.205458E-17        0.122000E+01        0.122000E+01        0.470000E-05        0.361958E-04        0.793000E+01        0.278000E+00        0.000000E+00        0.640000E+01
  20160116        0.320375E-05        0.803792E-04        0.574208E-05        0.294458E+00        0.249083E-02        0.353083E-02        0.981667E-04        0.000000E+00        0.106708E-02        0.145583E-02        0.227875E-01        0.427375E+00        0.286000E+00        0.100000E+01        0.390000E-16        0.121583E+01        0.121542E+01        0.470000E-05        0.367333E-04        0.868000E+01        0.274000E+00        0.000000E+00        0.640000E+01
  20160117        0.328042E-05        0.839042E-04        0.609083E-05        0.268417E+00        0.216625E-02        0.318625E-02        0.101108E-03        0.000000E+00        0.943458E-03        0.132833E-02        0.246583E-01        0.434000E+00        0.310000E+00        0.100000E+01        0.455375E-17        0.121000E+01        0.121000E+01        0.553000E-05        0.326917E-04        0.715000E+01        0.276000E+00        0.000000E+00        0.640000E+01
  20160118        0.342417E-05        0.867083E-04        0.649708E-05        0.272750E+00        0.207875E-02        0.306042E-02        0.984292E-04        0.000000E+00        0.918833E-03        0.129625E-02        0.240333E-01        0.440542E+00        0.312000E+00        0.100000E+01        0.177925E-16        0.121000E+01        0.121000E+01        0.553000E-05        0.320875E-04        0.703000E+01        0.271000E+00        0.000000E+00        0.640000E+01
  20160119        0.362417E-05        0.890792E-04        0.696375E-05        0.297417E+00        0.209542E-02        0.301333E-02        0.908500E-04        0.000000E+00        0.939125E-03        0.129917E-02        0.215167E-01        0.446750E+00        0.299000E+00        0.100000E+01       -0.369875E-17        0.121000E+01        0.121000E+01        0.553000E-05        0.330792E-04        0.785000E+01        0.272000E+00        0.000000E+00        0.640000E+01
  20160120        0.384250E-05        0.915500E-04        0.746292E-05        0.325917E+00        0.210917E-02        0.296167E-02        0.830708E-04        0.000000E+00        0.957417E-03        0.129667E-02        0.190250E-01        0.452500E+00        0.285000E+00        0.100000E+01        0.310250E-16        0.121000E+01        0.121000E+01        0.553000E-05        0.339833E-04        0.875000E+01        0.279000E+00        0.000000E+00        0.640000E+01
  20160121        0.409000E-05        0.940417E-04        0.800667E-05        0.364125E+00        0.215042E-02        0.293167E-02        0.749208E-04        0.000000E+00        0.987208E-03        0.130458E-02        0.164542E-01        0.457833E+00        0.267000E+00        0.100000E+01       -0.201487E-16        0.121000E+01        0.121000E+01        0.553000E-05        0.353083E-04        0.986000E+01        0.277000E+00        0.000000E+00        0.640000E+01
  20160122        0.430417E-05        0.970458E-04        0.853375E-05        0.383667E+00        0.210042E-02        0.283042E-02        0.700958E-04        0.000000E+00        0.975042E-03        0.127625E-02        0.151375E-01        0.462708E+00        0.261000E+00        0.100000E+01        0.245925E-16        0.121000E+01        0.121000E+01        0.553000E-05        0.350792E-04        0.103000E+02        0.271000E+00        0.000000E+00        0.640000E+01
  20160123        0.448792E-05        0.100379E-03        0.903542E-05        0.386750E+00        0.200250E-02        0.270083E-02        0.678250E-04        0.000000E+00        0.938833E-03        0.122917E-02        0.146625E-01        0.467417E+00        0.262417E+00        0.100000E+01        0.175417E-16        0.121000E+01        0.121000E+01        0.553000E-05        0.339667E-04        0.101000E+02        0.274000E+00        0.000000E+00        0.640000E+01
  20160124        0.465000E-05        0.103875E-03        0.951667E-05        0.380167E+00        0.188458E-02        0.256292E-02        0.670083E-04        0.000000E+00        0.892625E-03        0.117750E-02        0.146375E-01        0.471958E+00        0.269000E+00        0.100000E+01        0.405333E-17        0.121000E+01        0.121000E+01        0.553000E-05        0.324625E-04        0.973000E+01        0.272000E+00        0.000000E+00        0.640000E+01
  20160125        0.474292E-05        0.107958E-03        0.992250E-05        0.348792E+00        0.175917E-02        0.246583E-02        0.720542E-04        0.000000E+00        0.841333E-03        0.113875E-02        0.164667E-01        0.476500E+00        0.289000E+00        0.100000E+01        0.230667E-16        0.121000E+01        0.121000E+01        0.912000E-05        0.307792E-04        0.845000E+01        0.266000E+00        0.000000E+00        0.640000E+01
  20160126        0.485958E-05        0.111708E-03        0.103500E-04        0.332292E+00        0.164000E-02        0.234458E-02        0.737667E-04        0.000000E+00        0.792375E-03        0.109375E-02        0.173375E-01        0.481083E+00        0.303000E+00        0.100000E+01        0.163942E-16        0.121000E+01        0.121000E+01        0.912000E-05        0.291458E-04        0.759000E+01        0.271000E+00        0.000000E+00        0.640000E+01
  20160127        0.508667E-05        0.114583E-03        0.108833E-04        0.353500E+00        0.165083E-02        0.232208E-02        0.697458E-04        0.000000E+00        0.804583E-03        0.109417E-02        0.160333E-01        0.485750E+00        0.294000E+00        0.100000E+01       -0.125000E-19        0.121000E+01        0.121000E+01        0.912000E-05        0.297917E-04        0.818000E+01        0.266000E+00        0.000000E+00        0.640000E+01
  20160128        0.533875E-05        0.117375E-03        0.114625E-04        0.381458E+00        0.166417E-02        0.229417E-02        0.648208E-04        0.000000E+00        0.818625E-03        0.109417E-02        0.144542E-01        0.490042E+00        0.281083E+00        0.100000E+01        0.807250E-17        0.121000E+01        0.121000E+01        0.912000E-05        0.304958E-04        0.895000E+01        0.263000E+00        0.000000E+00        0.640000E+01
  20160129        0.550542E-05        0.121083E-03        0.119542E-04        0.377250E+00        0.158000E-02        0.219125E-02        0.639375E-04        0.000000E+00        0.783667E-03        0.105375E-02        0.143875E-01        0.494167E+00        0.287000E+00        0.100000E+01       -0.689167E-17        0.121000E+01        0.121000E+01        0.912000E-05        0.293417E-04        0.861000E+01        0.259000E+00        0.000000E+00        0.640000E+01
  20160130        0.568333E-05        0.124625E-03        0.124667E-04        0.376958E+00        0.152250E-02        0.211833E-02        0.630250E-04        0.000000E+00        0.761250E-03        0.102625E-02        0.142542E-01        0.498167E+00        0.290000E+00        0.100000E+01        0.621667E-17        0.121000E+01        0.121000E+01        0.912000E-05        0.286458E-04        0.841000E+01        0.256000E+00        0.000000E+00        0.640000E+01
  20160131        0.583792E-05        0.128500E-03        0.129458E-04        0.369542E+00        0.144917E-02        0.203375E-02        0.629917E-04        0.000000E+00        0.730083E-03        0.992500E-03        0.144208E-01        0.502042E+00        0.297000E+00        0.100000E+01        0.133592E-16        0.121000E+01        0.121000E+01        0.912000E-05        0.275958E-04        0.796000E+01        0.254000E+00        0.000000E+00        0.640000E+01
  20160201        0.617292E-05        0.131500E-03        0.135375E-04        0.392083E+00        0.146083E-02        0.201875E-02        0.597083E-04        0.212125E-16        0.741458E-03        0.994250E-03        0.133708E-01        0.505833E+00        0.288000E+00        0.100000E+01        0.124667E-16        0.121000E+01        0.121000E+01        0.912000E-05        0.281875E-04        0.855000E+01        0.250000E+00       -0.107000E-03        0.640000E+01
  20160202        0.637042E-05        0.134458E-03        0.141667E-04        0.422083E+00        0.143667E-02        0.194542E-02        0.542708E-04        0.000000E+00        0.734708E-03        0.966792E-03        0.117500E-01        0.509417E+00        0.275125E+00        0.100000E+01        0.187500E-18        0.120833E+01        0.120792E+01        0.670000E-05        0.280542E-04        0.931000E+01        0.264000E+00        0.000000E+00        0.640000E+01
  20160203        0.659292E-05        0.138083E-03        0.147500E-04        0.430417E+00        0.139958E-02        0.188750E-02        0.524667E-04        0.000000E+00        0.720333E-03        0.944708E-03        0.112833E-01        0.512708E+00        0.274000E+00        0.100000E+01        0.389208E-17        0.120000E+01        0.120000E+01        0.670000E-05        0.276042E-04        0.940000E+01        0.266000E+00        0.000000E+00        0.640000E+01
  20160204        0.683917E-05        0.141542E-03        0.153583E-04        0.445417E+00        0.138667E-02        0.185542E-02        0.505250E-04        0.000000E+00        0.718375E-03        0.935667E-03        0.107250E-01        0.515875E+00        0.270000E+00        0.100000E+01        0.670417E-17        0.120000E+01        0.120000E+01        0.670000E-05        0.276625E-04        0.967000E+01        0.263000E+00        0.000000E+00        0.640000E+01
  20160205        0.711750E-05        0.144958E-03        0.160250E-04        0.468917E+00        0.138958E-02        0.183500E-02        0.480625E-04        0.000000E+00        0.723875E-03        0.932125E-03        0.998958E-02        0.518875E+00        0.262000E+00        0.100000E+01        0.257708E-17        0.120000E+01        0.120000E+01        0.670000E-05        0.279958E-04        0.102000E+02        0.260000E+00        0.000000E+00        0.640000E+01
  20160206        0.742750E-05        0.148333E-03        0.167167E-04        0.502292E+00        0.140583E-02        0.182500E-02        0.451292E-04        0.000000E+00        0.736083E-03        0.933583E-03        0.910958E-02        0.521833E+00        0.251000E+00        0.100000E+01        0.453333E-17        0.120000E+01        0.120000E+01        0.670000E-05        0.285833E-04        0.108000E+02        0.258000E+00        0.000000E+00        0.640000E+01
  20160207        0.766500E-05        0.152167E-03        0.173417E-04        0.507375E+00        0.137292E-02        0.178083E-02        0.441708E-04        0.000000E+00        0.722958E-03        0.915750E-03        0.888875E-02        0.524500E+00        0.251000E+00        0.100000E+01       -0.204963E-16        0.120000E+01        0.120000E+01        0.670000E-05        0.281750E-04        0.108000E+02        0.255000E+00        0.000000E+00        0.640000E+01
  20160208        0.789292E-05        0.156333E-03        0.179583E-04        0.507125E+00        0.133958E-02        0.173958E-02        0.437250E-04        0.000000E+00        0.708875E-03        0.898958E-03        0.881875E-02        0.527125E+00        0.253000E+00        0.100000E+01        0.161875E-16        0.120000E+01        0.120000E+01        0.670000E-05        0.277250E-04        0.107000E+02        0.251000E+00        0.000000E+00        0.640000E+01
  20160209        0.107500E-04        0.158875E-03        0.189125E-04        0.605375E+00        0.144500E-02        0.179917E-02        0.382083E-04        0.675750E-14        0.768208E-03        0.937958E-03        0.713125E-02        0.529750E+00        0.223000E+00        0.100000E+01       -0.204165E-16        0.120000E+01        0.120000E+01        0.670000E-05        0.302000E-04        0.126000E+02        0.248000E+00       -0.429000E-03        0.640000E+01
  20160210        0.126667E-04        0.162250E-03        0.198000E-04        0.678375E+00        0.158250E-02        0.192792E-02        0.366208E-04        0.168875E-12        0.844292E-03        0.101167E-02        0.656875E-02        0.532042E+00        0.205000E+00        0.100000E+01        0.241250E-17        0.120000E+01        0.120000E+01        0.119000E-04        0.334292E-04        0.137000E+02        0.242000E+00       -0.949000E-03        0.640000E+01
  20160211        0.134958E-04        0.166000E-03        0.207250E-04        0.754708E+00        0.162583E-02        0.194000E-02        0.335542E-04        0.278083E-12        0.870917E-03        0.102292E-02        0.575583E-02        0.534208E+00        0.190000E+00        0.100000E+01       -0.181542E-17        0.120000E+01        0.120000E+01        0.119000E-04        0.346208E-04        0.147000E+02        0.241000E+00       -0.107000E-02        0.640000E+01
  20160212        0.139000E-04        0.171458E-03        0.211875E-04        0.662083E+00        0.149792E-02        0.183792E-02        0.365500E-04        0.531750E-12        0.806000E-03        0.971292E-03        0.663250E-02        0.536333E+00        0.212000E+00        0.100000E+01        0.197583E-16        0.120000E+01        0.120000E+01        0.119000E-04        0.320833E-04        0.133000E+02        0.238000E+00       -0.126000E-02        0.640000E+01
  20160213        0.144875E-04        0.176042E-03        0.218333E-04        0.646292E+00        0.146375E-02        0.180833E-02        0.371750E-04        0.925625E-12        0.791083E-03        0.959083E-03        0.683458E-02        0.538667E+00        0.217000E+00        0.100000E+01        0.431329E-16        0.120000E+01        0.120000E+01        0.119000E-04        0.316083E-04        0.130000E+02        0.235000E+00       -0.145000E-02        0.640000E+01
  20160214        0.144875E-04        0.182250E-03        0.220875E-04        0.532500E+00        0.130625E-02        0.169333E-02        0.428333E-04        0.118708E-11        0.709333E-03        0.899000E-03        0.861583E-02        0.541042E+00        0.253000E+00        0.100000E+01       -0.122521E-16        0.120000E+01        0.120000E+01        0.119000E-04        0.283958E-04        0.107000E+02        0.234000E+00       -0.157000E-02        0.640000E+01
  20160215        0.151000E-04        0.186167E-03        0.227708E-04        0.544833E+00        0.131500E-02        0.169708E-02        0.423458E-04        0.180708E-11        0.717208E-03        0.905875E-03        0.846333E-02        0.543583E+00        0.251000E+00        0.100000E+01        0.112775E-16        0.120000E+01        0.120000E+01        0.119000E-04        0.288292E-04        0.109000E+02        0.231000E+00       -0.173000E-02        0.640000E+01
  20160216        0.154750E-04        0.190667E-03        0.233458E-04        0.531208E+00        0.127583E-02        0.166167E-02        0.430083E-04        0.218917E-11        0.699167E-03        0.890083E-03        0.872250E-02        0.546083E+00        0.257000E+00        0.100000E+01        0.129000E-16        0.120000E+01        0.120000E+01        0.119000E-04        0.282208E-04        0.105000E+02        0.230000E+00       -0.182000E-02        0.640000E+01
  20160217        0.160333E-04        0.195000E-03        0.239417E-04        0.524167E+00        0.124958E-02        0.163583E-02        0.434458E-04        0.360833E-11        0.688542E-03        0.880917E-03        0.889458E-02        0.548708E+00        0.261000E+00        0.100000E+01       -0.450958E-17        0.120000E+01        0.120000E+01        0.119000E-04        0.278708E-04        0.102000E+02        0.226000E+00       -0.206000E-02        0.640000E+01
  20160218        0.168875E-04        0.197917E-03        0.248583E-04        0.586417E+00        0.129042E-02        0.164000E-02        0.393292E-04        0.484208E-11        0.713083E-03        0.888917E-03        0.764708E-02        0.551125E+00        0.242000E+00        0.100000E+01       -0.120783E-16        0.120000E+01        0.120000E+01        0.107000E-04        0.290042E-04        0.114000E+02        0.224000E+00       -0.219000E-02        0.640000E+01
  20160219        0.178583E-04        0.200792E-03        0.258917E-04        0.676208E+00        0.135417E-02        0.166750E-02        0.350375E-04        0.629000E-11        0.752000E-03        0.909625E-03        0.638875E-02        0.553333E+00        0.219000E+00        0.100000E+01       -0.293725E-16        0.120000E+01        0.120000E+01        0.107000E-04        0.307125E-04        0.129000E+02        0.222000E+00       -0.231000E-02        0.640000E+01
  20160220        0.185083E-04        0.205042E-03        0.266750E-04        0.693542E+00        0.134625E-02        0.164917E-02        0.341333E-04        0.801292E-11        0.750167E-03        0.903167E-03        0.616000E-02        0.555333E+00        0.216000E+00        0.100000E+01        0.760458E-17        0.120000E+01        0.120000E+01        0.107000E-04        0.307250E-04        0.131000E+02        0.220000E+00       -0.244000E-02        0.640000E+01
  20160221        0.191167E-04        0.209708E-03        0.273667E-04        0.685000E+00        0.132417E-02        0.162833E-02        0.344250E-04        0.117458E-10        0.740542E-03        0.894792E-03        0.625792E-02        0.557333E+00        0.219000E+00        0.100000E+01       -0.240100E-16        0.120000E+01        0.120000E+01        0.107000E-04        0.304625E-04        0.128000E+02        0.216000E+00       -0.269000E-02        0.640000E+01
  20160222        0.196708E-04        0.214542E-03        0.280042E-04        0.663083E+00        0.129375E-02        0.160500E-02        0.353083E-04        0.170417E-10        0.726125E-03        0.884458E-03        0.653417E-02        0.559333E+00        0.226000E+00        0.100000E+01        0.193292E-16        0.120000E+01        0.120000E+01        0.107000E-04        0.299375E-04        0.124000E+02        0.211000E+00       -0.295000E-02        0.640000E+01
  20160223        0.184458E-04        0.218500E-03        0.288667E-04        0.699833E+00        0.131333E-02        0.161250E-02        0.339208E-04        0.757458E-12        0.740000E-03        0.892417E-03        0.613667E-02        0.561417E+00        0.218000E+00        0.100000E+01       -0.195125E-16        0.119792E+01        0.119750E+01        0.107000E-04        0.306167E-04        0.129000E+02        0.237000E+00       -0.135000E-02        0.640000E+01
  20160224        0.148250E-04        0.223167E-03        0.295583E-04        0.689292E+00        0.128875E-02        0.158583E-02        0.341667E-04        0.103875E-14        0.727417E-03        0.880708E-03        0.623458E-02        0.563333E+00        0.222000E+00        0.100000E+01       -0.248708E-16        0.119000E+01        0.119000E+01        0.107000E-04        0.301750E-04        0.127000E+02        0.249000E+00       -0.259000E-03        0.640000E+01
  20160225        0.166083E-04        0.227042E-03        0.304875E-04        0.738417E+00        0.131792E-02        0.160292E-02        0.325292E-04        0.807750E-14        0.747917E-03        0.893708E-03        0.576458E-02        0.565292E+00        0.211000E+00        0.100000E+01        0.708333E-17        0.119000E+01        0.119000E+01        0.107000E-04        0.311542E-04        0.133000E+02        0.248000E+00       -0.430000E-03        0.640000E+01
  20160226        0.175667E-04        0.231875E-03        0.311875E-04        0.725417E+00        0.137875E-02        0.169083E-02        0.347917E-04        0.224417E-13        0.784458E-03        0.945500E-03        0.629625E-02        0.567167E+00        0.215333E+00        0.100000E+01       -0.103983E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.329042E-04        0.131000E+02        0.247000E+00       -0.556000E-03        0.640000E+01
  20160227        0.193833E-04        0.235500E-03        0.322167E-04        0.796708E+00        0.143125E-02        0.172000E-02        0.325833E-04        0.128792E-12        0.816875E-03        0.967958E-03        0.567083E-02        0.569208E+00        0.201083E+00        0.100000E+01       -0.135442E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.344042E-04        0.140000E+02        0.244000E+00       -0.853000E-03        0.640000E+01
  20160228        0.205542E-04        0.239917E-03        0.331167E-04        0.826792E+00        0.144125E-02        0.172083E-02        0.316458E-04        0.328708E-12        0.823917E-03        0.970333E-03        0.543000E-02        0.571042E+00        0.197000E+00        0.100000E+01       -0.214042E-17        0.119000E+01        0.119000E+01        0.158000E-04        0.348250E-04        0.143000E+02        0.241000E+00       -0.107000E-02        0.640000E+01
  20160229        0.216083E-04        0.244708E-03        0.339167E-04        0.827333E+00        0.142958E-02        0.170958E-02        0.316958E-04        0.787125E-12        0.821917E-03        0.969208E-03        0.545208E-02        0.572875E+00        0.198000E+00        0.100000E+01       -0.104417E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.348542E-04        0.142000E+02        0.237000E+00       -0.133000E-02        0.640000E+01
  20160301        0.216083E-04        0.249458E-03        0.347333E-04        0.832875E+00        0.143000E-02        0.171000E-02        0.316708E-04        0.408375E-12        0.822833E-03        0.970167E-03        0.543958E-02        0.574708E+00        0.198000E+00        0.100000E+01       -0.101133E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.350167E-04        0.142000E+02        0.240000E+00       -0.113000E-02        0.640000E+01
  20160302        0.227708E-04        0.253708E-03        0.357000E-04        0.875708E+00        0.145208E-02        0.171792E-02        0.305583E-04        0.847458E-12        0.837917E-03        0.979833E-03        0.515000E-02        0.576500E+00        0.191000E+00        0.100000E+01       -0.295917E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.357958E-04        0.146000E+02        0.237000E+00       -0.135000E-02        0.640000E+01
  20160303        0.234375E-04        0.258708E-03        0.364583E-04        0.861167E+00        0.143083E-02        0.170833E-02        0.310750E-04        0.120000E-11        0.831333E-03        0.976125E-03        0.528542E-02        0.578292E+00        0.195000E+00        0.100000E+01       -0.125875E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.356125E-04        0.144000E+02        0.235000E+00       -0.147000E-02        0.640000E+01
  20160304        0.245000E-04        0.263292E-03        0.373708E-04        0.886875E+00        0.145083E-02        0.171208E-02        0.305250E-04        0.224708E-11        0.841417E-03        0.983833E-03        0.514458E-02        0.580000E+00        0.191000E+00        0.100000E+01       -0.413042E-16        0.119000E+01        0.119000E+01        0.158000E-04        0.361708E-04        0.146000E+02        0.231000E+00       -0.172000E-02        0.640000E+01
  20160305        0.255917E-04        0.267750E-03        0.383583E-04        0.928000E+00        0.140500E-02        0.164625E-02        0.285833E-04        0.387417E-11        0.819083E-03        0.948417E-03        0.467792E-02        0.581625E+00        0.185000E+00        0.100000E+01        0.309500E-16        0.119000E+01        0.119000E+01        0.120000E-04        0.352458E-04        0.150000E+02        0.228000E+00       -0.196000E-02        0.640000E+01
  20160306        0.267250E-04        0.272125E-03        0.394292E-04        0.989083E+00        0.143250E-02        0.166042E-02        0.272458E-04        0.604667E-11        0.836125E-03        0.958375E-03        0.434917E-02        0.583333E+00        0.177000E+00        0.100000E+01        0.413904E-16        0.119000E+01        0.119000E+01        0.120000E-04        0.360917E-04        0.155000E+02        0.224000E+00       -0.217000E-02        0.640000E+01
  20160307        0.272917E-04        0.277167E-03        0.402792E-04        0.985708E+00        0.142417E-02        0.165833E-02        0.274292E-04        0.644833E-11        0.835292E-03        0.959000E-03        0.439708E-02        0.584667E+00        0.178000E+00        0.100000E+01        0.167904E-16        0.119000E+01        0.119000E+01        0.120000E-04        0.361667E-04        0.154000E+02        0.223000E+00       -0.221000E-02        0.640000E+01
  20160308        0.225125E-04        0.282917E-03        0.408875E-04        0.922292E+00        0.138625E-02        0.163500E-02        0.289417E-04        0.152875E-13        0.814875E-03        0.947417E-03        0.479042E-02        0.586375E+00        0.189000E+00        0.100000E+01        0.205192E-16        0.119000E+01        0.119000E+01        0.120000E-04        0.353750E-04        0.148000E+02        0.247000E+00       -0.489000E-03        0.640000E+01
  20160309        0.176917E-04        0.287292E-03        0.419000E-04        0.964917E+00        0.140208E-02        0.164250E-02        0.280583E-04        0.000000E+00        0.828208E-03        0.956167E-03        0.456375E-02        0.587833E+00        0.183000E+00        0.100000E+01        0.106708E-16        0.119000E+01        0.119000E+01        0.120000E-04        0.360625E-04        0.151000E+02        0.260000E+00        0.000000E+00        0.640000E+01
