"ID","sample","year","block","Precipitation","Warm","Clip","type"
"71","16soil23N",2016,"B4","normal","unwarming","uncliping","soil"
"72","16soil23S",2016,"B4","normal","unwarming","Cliping","soil"
"73","16soil24N",2016,"B4","half","unwarming","uncliping","soil"
"74","16soil24S",2016,"B4","half","unwarming","Cliping","soil"
"75","16soil2N",2016,"B1","half","warming","uncliping","soil"
"76","16soil2S",2016,"B1","half","warming","Cliping","soil"
"77","16soil3N",2016,"B1","normal","unwarming","uncliping","soil"
"78","16soil3S",2016,"B1","normal","unwarming","Cliping","soil"
"79","16soil4N",2016,"B2","double","warming","uncliping","soil"
"80","16soil4S",2016,"B2","double","warming","Cliping","soil"
"81","16soil5N",2016,"B2","half","warming","uncliping","soil"
"82","16soil5S",2016,"B2","half","warming","Cliping","soil"
"83","16soil6N",2016,"B2","normal","unwarming","uncliping","soil"
"84","16soil6S",2016,"B2","normal","unwarming","Cliping","soil"
"85","16soil7N",2016,"B1","double","warming","uncliping","soil"
"86","16soil7S",2016,"B1","double","warming","Cliping","soil"
"87","16soil8N",2016,"B1","half","unwarming","uncliping","soil"
"88","16soil8S",2016,"B1","half","unwarming","Cliping","soil"
"89","16soil9N",2016,"B1","double","unwarming","uncliping","soil"
"90","16soil9S",2016,"B1","double","unwarming","Cliping","soil"
"91","17N2016",2016,"B4","double","unwarming","uncliping","litter"
"92","17N2017",2017,"B4","double","unwarming","uncliping","litter"
"93","17N2018",2018,"B4","double","unwarming","uncliping","litter"
"94","17S2016",2016,"B4","double","unwarming","Cliping","litter"
"95","17S2017",2017,"B4","double","unwarming","Cliping","litter"
"96","17S2018",2018,"B4","double","unwarming","Cliping","litter"
"97","17soil10N",2017,"B2","normal","warming","uncliping","soil"
"98","17soil10S",2017,"B2","normal","warming","Cliping","soil"
"99","17soil11N",2017,"B2","half","unwarming","uncliping","soil"
"100","17soil11S",2017,"B2","half","unwarming","Cliping","soil"
"101","17soil12N",2017,"B2","double","unwarming","uncliping","soil"
"102","17soil12S",2017,"B2","double","unwarming","Cliping","soil"
"103","17soil13N",2017,"B3","half","unwarming","uncliping","soil"
"104","17soil13S",2017,"B3","half","unwarming","Cliping","soil"
"105","17soil14N",2017,"B3","double","unwarming","uncliping","soil"
"106","17soil14S",2017,"B3","double","unwarming","Cliping","soil"
"107","17soil15N",2017,"B3","half","warming","uncliping","soil"
"108","17soil15S",2017,"B3","half","warming","Cliping","soil"
"109","17soil16N",2017,"B4","normal","warming","uncliping","soil"
"110","17soil16S",2017,"B4","normal","warming","Cliping","soil"
"111","17soil17N",2017,"B4","double","unwarming","uncliping","soil"
"112","17soil17S",2017,"B4","double","unwarming","Cliping","soil"
"113","17soil18N",2017,"B4","half","warming","uncliping","soil"
"114","17soil18S",2017,"B4","half","warming","Cliping","soil"
"115","17soil19N",2017,"B3","normal","unwarming","uncliping","soil"
"116","17soil19S",2017,"B3","normal","unwarming","Cliping","soil"
"117","17soil1N",2017,"B1","normal","warming","uncliping","soil"
"118","17soil1S",2017,"B1","normal","warming","Cliping","soil"
"119","17soil20N",2017,"B3","normal","warming","uncliping","soil"
"120","17soil20S",2017,"B3","normal","warming","Cliping","soil"
"121","17soil21N",2017,"B3","double","warming","uncliping","soil"
"122","17soil21S",2017,"B3","double","warming","Cliping","soil"
"123","17soil22N",2017,"B4","double","warming","uncliping","soil"
"124","17soil22S",2017,"B4","double","warming","Cliping","soil"
"125","17soil23N",2017,"B4","normal","unwarming","uncliping","soil"
"126","17soil23S",2017,"B4","normal","unwarming","Cliping","soil"
"127","17soil24N",2017,"B4","half","unwarming","uncliping","soil"
"128","17soil24S",2017,"B4","half","unwarming","Cliping","soil"
"129","17soil2N",2017,"B1","half","warming","uncliping","soil"
"130","17soil2S",2017,"B1","half","warming","Cliping","soil"
"131","17soil3N",2017,"B1","normal","unwarming","uncliping","soil"
"132","17soil3S",2017,"B1","normal","unwarming","Cliping","soil"
"133","17soil4N",2017,"B2","double","warming","uncliping","soil"
"134","17soil4S",2017,"B2","double","warming","Cliping","soil"
"135","17soil5N",2017,"B2","half","warming","uncliping","soil"
"136","17soil5S",2017,"B2","half","warming","Cliping","soil"
"137","17soil6N",2017,"B2","normal","unwarming","uncliping","soil"
"138","17soil6S",2017,"B2","normal","unwarming","Cliping","soil"
"139","17soil7N",2017,"B1","double","warming","uncliping","soil"
"140","17soil7S",2017,"B1","double","warming","Cliping","soil"
"141","17soil8N",2017,"B1","half","unwarming","uncliping","soil"
"142","17soil8S",2017,"B1","half","unwarming","Cliping","soil"
"143","17soil9N",2017,"B1","double","unwarming","uncliping","soil"
"144","17soil9S",2017,"B1","double","unwarming","Cliping","soil"
"145","18N2016",2016,"B4","half","warming","uncliping","litter"
"146","18N2017",2017,"B4","half","warming","uncliping","litter"
"147","18N2018",2018,"B4","half","warming","uncliping","litter"
"148","18S2016",2016,"B4","half","warming","Cliping","litter"
"149","18S2017",2017,"B4","half","warming","Cliping","litter"
"150","18S2018",2018,"B4","half","warming","Cliping","litter"
"151","18soil10N",2018,"B2","normal","warming","uncliping","soil"
"152","18soil10S",2018,"B2","normal","warming","Cliping","soil"
"153","18soil11N",2018,"B2","half","unwarming","uncliping","soil"
"154","18soil11S",2018,"B2","half","unwarming","Cliping","soil"
"155","18soil12N",2018,"B2","double","unwarming","uncliping","soil"
"156","18soil12S",2018,"B2","double","unwarming","Cliping","soil"
"157","18soil13N",2018,"B3","half","unwarming","uncliping","soil"
"158","18soil13S",2018,"B3","half","unwarming","Cliping","soil"
"159","18soil14N",2018,"B3","double","unwarming","uncliping","soil"
"160","18soil14S",2018,"B3","double","unwarming","Cliping","soil"
"161","18soil15N",2018,"B3","half","warming","uncliping","soil"
"162","18soil15S",2018,"B3","half","warming","Cliping","soil"
"163","18soil16N",2018,"B4","normal","warming","uncliping","soil"
"164","18soil16S",2018,"B4","normal","warming","Cliping","soil"
"165","18soil17N",2018,"B4","double","unwarming","uncliping","soil"
"166","18soil17S",2018,"B4","double","unwarming","Cliping","soil"
"167","18soil18N",2018,"B4","half","warming","uncliping","soil"
"168","18soil18S",2018,"B4","half","warming","Cliping","soil"
"169","18soil19N",2018,"B3","normal","unwarming","uncliping","soil"
"170","18soil19S",2018,"B3","normal","unwarming","Cliping","soil"
"171","18soil1N",2018,"B1","normal","warming","uncliping","soil"
"172","18soil1S",2018,"B1","normal","warming","Cliping","soil"
"173","18soil20N",2018,"B3","normal","warming","uncliping","soil"
"174","18soil20S",2018,"B3","normal","warming","Cliping","soil"
"175","18soil21N",2018,"B3","double","warming","uncliping","soil"
"176","18soil21S",2018,"B3","double","warming","Cliping","soil"
"177","18soil22N",2018,"B4","double","warming","uncliping","soil"
"178","18soil22S",2018,"B4","double","warming","Cliping","soil"
"179","18soil23N",2018,"B4","normal","unwarming","uncliping","soil"
"180","18soil23S",2018,"B4","normal","unwarming","Cliping","soil"
"181","18soil24N",2018,"B4","half","unwarming","uncliping","soil"
"182","18soil24S",2018,"B4","half","unwarming","Cliping","soil"
"183","18soil2N",2018,"B1","half","warming","uncliping","soil"
"184","18soil2S",2018,"B1","half","warming","Cliping","soil"
"185","18soil3N",2018,"B1","normal","unwarming","uncliping","soil"
"186","18soil3S",2018,"B1","normal","unwarming","Cliping","soil"
"187","18soil4N",2018,"B2","double","warming","uncliping","soil"
"188","18soil4S",2018,"B2","double","warming","Cliping","soil"
"189","18soil5N",2018,"B2","half","warming","uncliping","soil"
"190","18soil5S",2018,"B2","half","warming","Cliping","soil"
"191","18soil6N",2018,"B2","normal","unwarming","uncliping","soil"
"192","18soil6S",2018,"B2","normal","unwarming","Cliping","soil"
"193","18soil7N",2018,"B1","double","warming","uncliping","soil"
"194","18soil7S",2018,"B1","double","warming","Cliping","soil"
"195","18soil8N",2018,"B1","half","unwarming","uncliping","soil"
"196","18soil8S",2018,"B1","half","unwarming","Cliping","soil"
"197","18soil9N",2018,"B1","double","unwarming","uncliping","soil"
"198","18soil9S",2018,"B1","double","unwarming","Cliping","soil"
"199","19N2016",2016,"B3","normal","unwarming","uncliping","litter"
"200","19N2017",2017,"B3","normal","unwarming","uncliping","litter"
"201","19N2018",2018,"B3","normal","unwarming","uncliping","litter"
"202","19S2016",2016,"B3","normal","unwarming","Cliping","litter"
"203","19S2017",2017,"B3","normal","unwarming","Cliping","litter"
"204","19S2018",2018,"B3","normal","unwarming","Cliping","litter"
"205","1N2016",2016,"B1","normal","warming","uncliping","litter"
"206","1N2017",2017,"B1","normal","warming","uncliping","litter"
"207","1N2018",2018,"B1","normal","warming","uncliping","litter"
"208","1S2016",2016,"B1","normal","warming","Cliping","litter"
"209","1S2017",2017,"B1","normal","warming","Cliping","litter"
"210","1S2018",2018,"B1","normal","warming","Cliping","litter"
"211","20N2016",2016,"B3","normal","warming","uncliping","litter"
"212","20N2017",2017,"B3","normal","warming","uncliping","litter"
"213","20N2018",2018,"B3","normal","warming","uncliping","litter"
"214","20S2016",2016,"B3","normal","warming","Cliping","litter"
"215","20S2017",2017,"B3","normal","warming","Cliping","litter"
"216","20S2018",2018,"B3","normal","warming","Cliping","litter"
"217","21N2016",2016,"B3","double","warming","uncliping","litter"
"218","21N2017",2017,"B3","double","warming","uncliping","litter"
"219","21N2018",2018,"B3","double","warming","uncliping","litter"
"220","21S2016",2016,"B3","double","warming","Cliping","litter"
"221","21S2017",2017,"B3","double","warming","Cliping","litter"
"222","21S2018",2018,"B3","double","warming","Cliping","litter"
"223","22N2016",2016,"B4","double","warming","uncliping","litter"
"224","22N2017",2017,"B4","double","warming","uncliping","litter"
"225","22N2018",2018,"B4","double","warming","uncliping","litter"
"226","22S2016",2016,"B4","double","warming","Cliping","litter"
"227","22S2017",2017,"B4","double","warming","Cliping","litter"
"228","22S2018",2018,"B4","double","warming","Cliping","litter"
"229","23N2016",2016,"B4","normal","unwarming","uncliping","litter"
"230","23N2017",2017,"B4","normal","unwarming","uncliping","litter"
"231","23N2018",2018,"B4","normal","unwarming","uncliping","litter"
"232","23S2016",2016,"B4","normal","unwarming","Cliping","litter"
"233","23S2017",2017,"B4","normal","unwarming","Cliping","litter"
"234","23S2018",2018,"B4","normal","unwarming","Cliping","litter"
"235","24N2016",2016,"B4","half","unwarming","uncliping","litter"
"236","24N2017",2017,"B4","half","unwarming","uncliping","litter"
"237","24N2018",2018,"B4","half","unwarming","uncliping","litter"
"238","24S2016",2016,"B4","half","unwarming","Cliping","litter"
"239","24S2017",2017,"B4","half","unwarming","Cliping","litter"
"240","24S2018",2018,"B4","half","unwarming","Cliping","litter"
"241","2N2016",2016,"B1","half","warming","uncliping","litter"
"242","2N2017",2017,"B1","half","warming","uncliping","litter"
"243","2N2018",2018,"B1","half","warming","uncliping","litter"
"244","2S2016",2016,"B1","half","warming","Cliping","litter"
"245","2S2017",2017,"B1","half","warming","Cliping","litter"
"246","2S2018",2018,"B1","half","warming","Cliping","litter"
"247","3N2016",2016,"B1","normal","unwarming","uncliping","litter"
"248","3N2017",2017,"B1","normal","unwarming","uncliping","litter"
"249","3N2018",2018,"B1","normal","unwarming","uncliping","litter"
"250","3S2016",2016,"B1","normal","unwarming","Cliping","litter"
"251","3S2017",2017,"B1","normal","unwarming","Cliping","litter"
"252","3S2018",2018,"B1","normal","unwarming","Cliping","litter"
"253","4N2016",2016,"B2","double","warming","uncliping","litter"
"254","4N2017",2017,"B2","double","warming","uncliping","litter"
"255","4N2018",2018,"B2","double","warming","uncliping","litter"
"256","4S2016",2016,"B2","double","warming","Cliping","litter"
"257","4S2017",2017,"B2","double","warming","Cliping","litter"
"258","4S2018",2018,"B2","double","warming","Cliping","litter"
"259","5N2016",2016,"B2","half","warming","uncliping","litter"
"260","5N2017",2017,"B2","half","warming","uncliping","litter"
"261","5N2018",2018,"B2","half","warming","uncliping","litter"
"262","5S2016",2016,"B2","half","warming","Cliping","litter"
"263","5S2017",2017,"B2","half","warming","Cliping","litter"
"264","5S2018",2018,"B2","half","warming","Cliping","litter"
"265","6N2016",2016,"B2","normal","unwarming","uncliping","litter"
"266","6N2017",2017,"B2","normal","unwarming","uncliping","litter"
"267","6N2018",2018,"B2","normal","unwarming","uncliping","litter"
"268","6S2016",2016,"B2","normal","unwarming","Cliping","litter"
"269","6S2017",2017,"B2","normal","unwarming","Cliping","litter"
"270","6S2018",2018,"B2","normal","unwarming","Cliping","litter"
"271","7N2016",2016,"B1","double","warming","uncliping","litter"
"272","7N2017",2017,"B1","double","warming","uncliping","litter"
"273","7N2018",2018,"B1","double","warming","uncliping","litter"
"274","7S2016",2016,"B1","double","warming","Cliping","litter"
"275","7S2017",2017,"B1","double","warming","Cliping","litter"
"276","7S2018",2018,"B1","double","warming","Cliping","litter"
"277","8N2016",2016,"B1","half","unwarming","uncliping","litter"
"278","8N2017",2017,"B1","half","unwarming","uncliping","litter"
"279","8N2018",2018,"B1","half","unwarming","uncliping","litter"
"280","8S2016",2016,"B1","half","unwarming","Cliping","litter"
"281","8S2017",2017,"B1","half","unwarming","Cliping","litter"
"282","8S2018",2018,"B1","half","unwarming","Cliping","litter"
"283","9N2016",2016,"B1","double","unwarming","uncliping","litter"
"284","9N2017",2017,"B1","double","unwarming","uncliping","litter"
"285","9N2018",2018,"B1","double","unwarming","uncliping","litter"
"286","9S2016",2016,"B1","double","unwarming","Cliping","litter"
"287","9S2017",2017,"B1","double","unwarming","Cliping","litter"
"288","9S2018",2018,"B1","double","unwarming","Cliping","litter"
